PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,JAN_PH_SUELO,FEB_PH_SUELO,MAR_PH_SUELO,APR_PH_SUELO,MAY_PH_SUELO,JUN_PH_SUELO,JUL_PH_SUELO,AUG_PH_SUELO,SEP_PH_SUELO,OCT_PH_SUELO,NOV_PH_SUELO,DEC_PH_SUELO
PRECTOTCORR,1981,2.64,3.32,1.72,6.02,6.66,11.86,3.34,9.65,9.03,6.43,9.18,4.26,6.17,6.8,6.0,4.11,4.8,4.63,5.73,3.22,4.3,7.62,4.04,4.12,3.55
PRECTOTCORR,1982,3.3,2.99,1.35,3.71,8.9,2.92,8.43,4.88,5.84,6.6,2.71,3.59,4.62,7.13,4.16,7.1,7.63,8.99,5.12,5.04,5.76,5.1,5.23,6.69,3.07
PRECTOTCORR,1983,1.38,0.09,0.93,3.76,3.01,4.61,5.27,5.66,5.07,7.47,3.01,3.31,3.65,6.13,4.43,7.13,3.54,5.02,8.44,7.64,3.1,6.68,6.35,7.83,6.95
PRECTOTCORR,1984,0.69,1.01,0.6,2.72,4.78,5.78,4.8,6.55,5.83,5.3,2.27,2.01,3.54,6.79,8.02,5.35,4.73,4.99,3.45,3.19,7.74,3.48,6.01,5.96,7.23
PRECTOTCORR,1985,1.94,0.41,0.5,0.84,2.21,8.02,5.41,4.31,4.36,3.62,2.4,2.03,3.02,8.02,6.04,7.17,7.2,7.99,6.56,7.62,4.74,3.38,3.64,3.97,4.65
PRECTOTCORR,1986,2.53,0.39,0.57,0.46,4.46,7.97,4.69,8.08,5.73,8.05,4.5,3.83,4.3,5.89,8.72,8.83,8.71,5.97,4.98,6.42,6.21,8.83,4.89,8.31,5.36
PRECTOTCORR,1987,1.6,1.15,0.68,4.52,4.08,4.69,3.87,4.87,3.26,6.51,2.62,1.59,3.3,3.02,6.15,8.28,7.1,7.71,5.37,5.34,7.37,8.84,8.03,4.44,4.85
PRECTOTCORR,1988,2.52,0.84,0.74,1.74,3.24,2.68,3.06,5.21,6.42,4.97,3.49,1.14,3.01,8.69,6.65,3.07,8.05,8.34,4.38,4.37,7.24,5.5,6.13,4.17,4.91
PRECTOTCORR,1989,0.45,0.61,0.34,0.39,2.04,5.37,3.02,3.94,5.07,4.72,2.43,2.15,2.55,5.89,7.58,7.67,3.46,6.64,6.59,5.81,4.4,7.79,5.85,4.12,6.7
PRECTOTCORR,1990,1.64,0.87,0.85,0.92,3.56,4.52,2.94,5.63,3.53,5.97,3.07,2.25,3.0,4.45,4.75,7.69,8.04,4.6,3.67,6.67,5.68,8.35,7.37,7.34,3.1
PRECTOTCORR,1991,3.09,1.34,0.17,0.82,5.23,4.24,4.14,2.08,3.09,5.77,3.23,1.96,2.94,8.52,4.43,8.72,8.17,5.87,4.63,7.19,6.35,8.85,7.61,8.31,7.53
PRECTOTCORR,1992,0.14,0.99,0.41,0.98,3.35,2.64,5.97,3.73,3.11,3.16,2.72,0.92,2.35,4.12,5.06,5.31,6.0,8.3,3.86,8.67,4.0,7.83,4.73,3.01,3.27
PRECTOTCORR,1993,0.28,0.21,0.76,1.58,7.73,4.33,2.53,3.93,7.12,2.29,1.06,1.28,2.77,5.83,4.8,5.07,5.09,7.3,4.4,8.97,3.82,8.45,6.53,3.59,5.82
PRECTOTCORR,1994,0.02,0.29,0.17,1.09,1.06,2.47,3.58,2.74,2.9,4.1,3.49,1.01,1.92,3.73,5.02,8.89,6.05,7.27,6.32,5.46,7.45,3.83,4.01,8.1,7.86
PRECTOTCORR,1995,0.16,0.4,0.67,2.33,5.41,5.88,3.18,7.18,4.58,4.24,2.42,0.67,3.11,3.84,4.64,7.29,7.95,6.06,5.82,7.85,5.55,5.83,3.77,7.22,6.99
PRECTOTCORR,1996,1.43,1.52,0.19,0.47,4.59,2.63,2.41,2.39,2.65,2.79,3.81,2.33,2.27,3.86,3.08,5.43,3.05,4.06,5.89,7.31,7.14,4.45,7.1,3.16,4.03
PRECTOTCORR,1997,2.01,1.32,0.48,1.93,6.5,7.97,4.26,5.94,7.64,8.79,4.29,2.07,4.45,8.78,7.79,6.78,5.37,8.11,8.49,4.84,7.81,7.49,4.53,8.85,4.98
PRECTOTCORR,1998,0.03,0.31,0.16,0.84,6.4,7.36,10.44,8.91,5.68,11.41,4.9,8.7,5.48,7.36,8.86,7.69,5.88,7.4,7.4,3.46,6.84,4.23,8.78,8.27,5.51
PRECTOTCORR,1999,2.14,4.38,1.37,5.68,7.6,8.87,5.75,10.64,9.09,7.41,4.98,8.6,6.38,4.99,5.18,5.83,6.58,5.61,4.21,7.33,6.31,7.93,7.18,7.62,5.17
PRECTOTCORR,2000,4.24,2.93,0.77,2.86,6.55,8.58,6.59,7.03,6.36,4.61,4.82,2.66,4.83,7.51,3.99,3.05,5.65,6.39,6.22,8.1,5.38,6.39,7.84,4.77,3.83
PRECTOTCORR,2001,2.25,2.15,1.26,2.88,5.01,6.98,4.54,5.29,5.2,7.15,6.51,2.25,4.29,3.19,4.22,4.45,7.79,6.1,4.6,4.23,7.32,6.72,4.42,6.66,8.95
PRECTOTCORR,2002,3.67,1.38,1.77,2.4,10.41,6.79,11.45,9.38,5.69,5.62,9.59,4.18,6.06,7.23,6.95,8.0,8.37,8.09,5.9,3.11,5.36,5.16,7.62,3.64,8.37
PRECTOTCORR,2003,2.36,2.04,1.4,2.91,9.11,4.18,4.6,3.74,2.97,5.98,5.72,5.25,4.21,5.65,5.62,3.87,5.34,5.85,4.65,3.65,3.62,5.63,4.67,4.14,6.87
PRECTOTCORR,2004,1.05,2.23,3.62,1.85,7.3,4.17,4.75,4.38,6.92,4.76,11.51,5.35,4.82,6.69,7.15,8.69,5.48,3.68,4.75,6.75,5.31,8.45,7.29,6.75,9.0
PRECTOTCORR,2005,6.79,4.2,1.63,6.8,5.66,8.27,6.63,6.94,10.28,11.36,7.46,2.0,6.5,4.72,6.32,4.21,8.86,8.33,7.81,4.75,3.38,4.02,8.33,6.69,4.31
PRECTOTCORR,2006,6.81,2.45,4.8,2.2,7.55,5.77,9.33,4.84,5.23,3.77,5.3,5.48,5.32,8.75,7.18,3.8,7.09,3.59,3.75,3.53,4.24,5.51,4.73,8.4,5.38
PRECTOTCORR,2007,3.33,0.15,1.91,4.22,8.73,5.55,6.32,5.91,5.81,8.76,13.28,10.68,6.26,6.25,3.43,5.27,4.78,3.73,4.4,6.07,6.39,5.32,6.74,4.49,6.59
PRECTOTCORR,2008,2.48,2.04,1.14,4.99,6.59,8.77,7.49,9.86,6.95,8.74,6.77,2.54,5.7,3.55,8.47,7.87,4.86,8.89,4.57,5.23,5.68,5.09,3.92,7.3,6.5
PRECTOTCORR,2009,1.92,3.86,5.41,1.6,5.08,7.0,8.48,6.21,3.67,7.81,4.83,1.44,4.79,7.73,6.38,6.56,3.79,6.7,3.63,5.72,4.07,3.86,4.35,8.74,7.82
PRECTOTCORR,2010,4.83,2.3,2.89,3.74,7.44,6.11,6.74,5.96,14.47,5.04,12.43,7.06,6.59,3.61,7.18,8.8,6.73,3.06,5.14,7.77,4.33,4.21,8.74,5.75,4.32
PRECTOTCORR,2011,4.84,4.36,0.39,1.53,3.14,7.75,7.13,6.76,5.7,13.79,7.01,5.78,5.69,3.72,3.46,4.14,4.21,7.16,7.53,9.0,6.52,7.93,5.55,3.32,6.16
PRECTOTCORR,2012,4.25,1.38,2.46,3.57,4.26,5.23,11.76,7.59,6.5,5.76,7.22,4.1,5.36,4.52,7.3,4.99,8.95,8.22,8.66,5.19,3.82,5.45,7.44,3.41,4.24
PRECTOTCORR,2013,0.87,2.19,3.82,4.26,7.04,9.76,4.97,4.03,8.01,8.34,8.29,3.91,5.46,5.83,6.36,8.73,3.75,4.71,4.29,5.59,8.96,8.46,4.58,4.45,6.05
PRECTOTCORR,2014,2.33,1.82,1.16,6.46,5.62,8.17,13.46,9.71,10.68,9.43,7.6,10.18,7.25,4.28,6.42,5.51,4.04,7.69,3.26,7.4,4.12,3.54,6.7,4.45,6.82
